SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
5860,10179,1,Star Wars,Ultimate Collector Series,2007,Ultimate Collector's Millennium Falcon,5,5197,342.49,499.99,,,http://images.brickset.com/sets/images/10179-1.jpg,No,No,0
6522,10188,1,Star Wars,Ultimate Collector Series,2008,Death Star,24,3803,274.99,399.99,499.99,419.99,http://images.brickset.com/sets/images/10188-1.jpg,No,No,0
4799,10143,1,Star Wars,Ultimate Collector Series,2005,Death Star II,,3441,249.99,269.99,,,http://images.brickset.com/sets/images/10143-1.jpg,No,No,0
23529,75059,1,Star Wars,Ultimate Collector Series,2014,Sandcrawler,14,3296,249.99,299.99,349.99,299.99,http://images.brickset.com/sets/images/75059-1.jpg,No,No,0
8733,10221,1,Star Wars,Ultimate Collector Series,2011,Super Star Destroyer ,5,3152,349.99,399.99,499.99,399.99,http://images.brickset.com/sets/images/10221-1.jpg,No,No,0
32,10030,1,Star Wars,Ultimate Collector Series,2002,Imperial Star Destroyer,,3096,249.99,269.99,,,http://images.brickset.com/sets/images/10030-1.jpg,No,No,0
7681,10212,1,Star Wars,Ultimate Collector Series,2010,Imperial Shuttle,5,2503,245.99,259.99,309.99,259.99,http://images.brickset.com/sets/images/10212-1.jpg,No,No,0
9286,10225,1,Star Wars,Ultimate Collector Series,2012,R2-D2,1,2127,149.99,179.99,229.99,179.99,http://images.brickset.com/sets/images/10225-1.jpg,No,No,0
23682,75060,1,Star Wars,Ultimate Collector Series,2015,Slave I,4,1996,169.99,199.99,229.99,199.99,http://images.brickset.com/sets/images/75060-1.jpg,No,No,0
22807,10236,1,Star Wars,Episode VI,2013,Ewok Village,17,1990,199.99,249.99,299.99,249.99,http://images.brickset.com/sets/images/10236-1.jpg,No,No,0
21,10018,1,Star Wars,Ultimate Collector Series,2001,Darth Maul,,1868,,150,,,http://images.brickset.com/sets/images/10018-1.jpg,No,No,0
7086,10195,1,Star Wars,The Clone Wars,2009,Republic Dropship with AT-OT Walker,8,1758,183.99,249.99,349.99,249.99,http://images.brickset.com/sets/images/10195-1.jpg,No,No,0
22,10019,1,Star Wars,Ultimate Collector Series,2001,Rebel Blockade Runner,,1747,,200,,,http://images.brickset.com/sets/images/10019-1.jpg,No,No,0
